Light Intensity (% of scale max) Alessandra_0.02_1.5_lampadina	Position (m) Alessandra_0.02_1.5_lampadina
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000395000
0.0000000000	-0.0002960000
0.0000000000	-0.0004540000
0.0000000000	-0.0005920000
0.0000000000	-0.0007500000
0.0000000000	-0.0009070000
0.0000000000	-0.0010000000
0.0000000000	-0.0011000000
0.0000000000	-0.0013000000
0.0000000000	-0.0015000000
0.0000000000	-0.0018000000
0.0000000000	-0.0021000000
0.0000000000	-0.0025000000
0.0000000000	-0.0029000000
0.0000000000	-0.0034000000
0.0000000000	-0.0038000000
0.0000000000	-0.0041000000
0.0000000000	-0.0043000000
0.0000000000	-0.0045000000
0.0000000000	-0.0046000000
0.0000000000	-0.0047000000
0.0000000000	-0.0048000000
0.0000000000	-0.0049000000
0.0000000000	-0.0051000000
0.0000000000	-0.0052000000
0.0000000000	-0.0054000000
0.0000000000	-0.0057000000
0.0000000000	-0.0059000000
0.0000000000	-0.0062000000
0.0000000000	-0.0066000000
0.0000000000	-0.0071000000
0.0000000000	-0.0074000000
0.0000000000	-0.0074000000
0.0000000000	-0.0074000000
0.0000000000	-0.0074000000
0.0000000000	-0.0074000000
0.0000000000	-0.0074000000
0.0000000000	-0.0074000000
0.0000000000	-0.0074000000
0.0000000000	-0.0074000000
0.0000000000	-0.0074000000
0.0000000000	-0.0074000000
0.0000000000	-0.0074000000
0.0000000000	-0.0074000000
0.0000000000	-0.0074000000
0.0000000000	-0.0074000000
0.0000000000	-0.0074000000
0.0000000000	-0.0074000000
0.0000000000	-0.0074000000
0.0000000000	-0.0074000000
0.0000000000	-0.0074000000
0.0000000000	-0.0074000000
0.0000000000	-0.0077000000
0.0000000000	-0.0080000000
0.0000000000	-0.0083000000
0.0000000000	-0.0087000000
0.0000000000	-0.0092000000
